purple6;Urban and Built-Up Land
yellow1;Dryland Cropland and Pasture
yellow3;Irrigated Cropland and Pasture
yellow4;Mixed Dryland/Irrigated Cropland and Pasture
yellow6;Cropland/Grassland Mosaic
yellow8;Cropland/Woodland Mosaic
cyan2;Grassland
cyan4;Shrubland
cyan6;Mixed Shrubland/Grassland
cyan8;Savanna
green2;Deciduous Broadleaf Forest
green4;Deciduous Needleleaf Forest
green6;Evergreen Broadleaf Forest
green8;Evergreen Needleleaf Forest
dark.yellow;Mixed Forest
blue7;Water Bodies
blue5;Herbaceous Wetland
blue2;Wooded Wetland
dark.desert.brown;Barren or Sparsely Vegetated
magenta5;Herbaceous Tundra
magenta4;Wooded Tundra
magenta3;Mixed Tundra
magenta2;Bare Ground Tundra
magenta1;Snow or Ice
gray2;Playa
gray4;Lava
white;White Sand
