Plot_Abb;  Plot Name;***SEE README FOR DOCUMENTATION***Plt Typ; Shade;  Cntr;   Dash;   Winds;   Vcor Sh; Vcor Co; Vcor Da; Lvl Sh; Lvl Co; Lvl Da; Sm Sh; Sm Co; Sm Da; Xtra Line;  Wnd Vctr; Sh Lbl
Omeg700RH; 700 mb RH, Vertical Motion and Height;      Special; rhu;    ght;    www;    MMM;     p;       p;       p;       700;    700;    700;    1;     3;     2;     MMM;        MMM;      M,M,M,M
Vor500Z;   500 mb Relative Vorticity, Height and Wind; Plan;    vor;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     500;    500;    MMM;    4;     3;     0;     MMM;        Brb;      M,M,M,M
pvor700Z;  700 mb Pot. Vorticity, Height and Wind;     Plan;    pvo;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     700;    700;    MMM;    4;     3;     0;     MMM;        Brb;      M,M,M,M
pvor500Z;  500 mb Pot. Vorticity, Height and Wind;     Plan;    pvo;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     500;    500;    MMM;    4;     3;     0;     MMM;        Brb;      M,M,M,M
Wnd300Z;   300 mb Wind Speed, Height and Wind Barbs;   Plan;    wsp;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     300;    300;    MMM;    0;     3;     0;     MMM;        Brb;      2,1,1,0
Wnd250Z;   250 mb Wind Speed, Height and Wind Barbs;   Plan;    wsp;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     250;    250;    MMM;    0;     3;     0;     MMM;        Brb;      2,1,1,0
Wnd200Z;   200 mb Wind Speed, Height and Wind Barbs;   Plan;    wsp;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     200;    200;    MMM;    0;     3;     0;     MMM;        Brb;      2,1,1,0
Wnd100Z;   100 mb Wind Speed, Height and Wind Barbs;   Plan;    wsp;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     100;    100;    MMM;    0;     3;     0;     MMM;        Brb;      2,1,1,0
Div250Z;   250 mb Divergence, Height and Wind Barbs;   Plan;    div;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     250;    250;    MMM;    2;     3;     0;     MMM;        Brb;      M,M,M,M
isen280PRH;280 K isentropic RH and pressure;           Plan;    rhu;    prs;    MMM;    uuu,vvv; t;       t;       MMM;     280;    280;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
isen285PRH;285 K isentropic RH and pressure;           Plan;    rhu;    prs;    MMM;    uuu,vvv; t;       t;       MMM;     285;    285;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
isen290PRH;290 K isentropic RH and pressure;           Plan;    rhu;    prs;    MMM;    uuu,vvv; t;       t;       MMM;     290;    290;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
isen295PRH;295 K isentropic RH and pressure;           Plan;    rhu;    prs;    MMM;    uuu,vvv; t;       t;       MMM;     295;    295;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
isen300PRH;300 K isentropic RH and pressure;           Plan;    rhu;    prs;    MMM;    uuu,vvv; t;       t;       MMM;     300;    300;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
isen305PRH;305 K isentropic RH and pressure;           Plan;    rhu;    prs;    MMM;    uuu,vvv; t;       t;       MMM;     305;    305;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
isen310PRH;310 K isentropic RH and pressure;           Plan;    rhu;    prs;    MMM;    uuu,vvv; t;       t;       MMM;     310;    310;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
IRsat;     IR satellite view (cloud top temperature);  Raster;  ctt;    MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
slhflux;   Surface Latent Heat Flux;                   Raster;  LH;     MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
sshflux;   Surface Sensible Heat Flux;                 Raster;  HFX;    MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
SkinT;     Skin Temperature;                           Raster;  tgc;    MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
soilt1;    Soil Layer 1 Temperature;                   Raster;  TSLB01; MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
soilm1;    Soil Layer 1 Moisture;                      Raster;  SMOIS01;MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
SWDOWN;    Downward Shortwave Solar Radiation Flux;    Raster;  SWDOWN; MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
sfcstrm;   Surface Wind Speed and Streamlines;         Plan;    wsp;    MMM;    MMM;    uuu,vvv; s;       MMM;     MMM;     1fb;    MMM;    MMM;    0;     0;     0;     MMM;        Strm;     M,M,1,1
landuse;   Model Land Use Categories;                  Special; xlus;   MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
LandUseTbl;Model Land Use Table;                       Special; MMM;    MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
WRFgrids;  WRF Grid Configuration;                     Special; ter;    MMM;    MMM;    MMM;     s;       MMM;     MMM;     1fb;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
xsloc;     Cross Section Location(s);                  Special; ter;    MMM;    MMM;    MMM;     s;       MMM;     MMM;     1fb;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
xsthw;     XS(s) of Potential Temperature and Winds;   XS;      the;    MMM;    MMM;    uuu,vvv; z;       MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        Brb;      2,2,2,2
xsrhw;     XS(s) of Relative Humidity and Winds;       XS;      rhu;    MMM;    MMM;    uuu,vvv; z;       MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        Brb;      M,M,M,M
xswWnd;    XS(s) of Vert. Vel. and Wind into XS;       XS;      www;    xnt;    xnt;    MMM;     z;       z;       z;       MMM;    MMM;    MMM;    0;     0;     0;     MMM;        Brb;      2,2,2,2
xsdBZ;     XS(s) of Reflectivity;                      XS;      dbz;    MMM;    MMM;    MMM;     z;       MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
xsPcp;     XS(s) of Total Precip Mixing Ratio;         XSSpcl;  qpr;    www;    www;    MMM;     z;       z;       z;       MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
xsrhcv;    XS(s) of RH, Pot. Temp. and Circulation;    XS;      rhu;    the;    MMM;    uuu,vvv,www;z;    z;       MMM;     0,7;    MMM;    MMM;    1;     0;     0;     MMM;        Arw;      2,2,2,2
xsrhthgm;  XS(s) of RH, Eqv. Pot. Temp & Geo. Mom.;    XS;      rhu;    the;    amtg;   MMM;     z;       z;       z;       MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
cust_plts; Custom Plots;                               Custom;  MMM;    MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
