Plot_Abb;  Plot Name;***SEE README FOR DOCUMENTATION***Plt Typ; Shade;  Cntr;   Dash;   Winds;   Vcor Sh; Vcor Co; Vcor Da; Lvl Sh; Lvl Co; Lvl Da; Sm Sh; Sm Co; Sm Da; Xtra Line;  Wnd Vctr; Sh Lbl
T2mWndC;   Surface Temp(C), Wind, and MSLP;            Plan;    tsfc;   slp;    MMM;    U10,V10; MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T2mWndF;   Surface Temp(F), Wind, and MSLP;            Plan;    tsff;   slp;    MMM;    U10,V10; MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     3;     0;     32;         Brb;      2,1,1,0
Td2mWndC;  Surface Dewpoint(C) and Wind;               Plan;    sdpc;   MMM;    MMM;    U10,V10; MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
Td2mWndF;  Surface Dewpoint(F) and Wind;               Plan;    sdpf;   MMM;    MMM;    U10,V10; MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
RHsfcWnd;  Surface Relative Humidity and Wind;         Plan;    rhu;    MMM;    MMM;    uuu,vvv; s;       MMM;     MMM;     1fb;    MMM;    MMM;    0;     0;     0;     MMM;        Brb;      M,1,1,0
cape;      Maximum CAPE;                               Plan;    mcap;   MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,1,0
Z925MSLP;  MSLP with 925 mb Geopotential Height;       Plan;    ter;    slp;    ght;    MMM;     MMM;     MMM;     p;       MMM;    MMM;    925;    0;     3;     3;     MMM;        MMM;      M,M,M,M
Strm10m;   Terrain with 10m Streamlines;               Plan;    ter;    MMM;    MMM;    U10,V10; MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        Strm;     M,M,M,M
QvWnd;     Lowest Model Level Mixing Ratio and Wind;   Plan;    qvp;    MMM;    MMM;    uuu,vvv; s;       MMM;     MMM;     1fb;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      2,1,1,0
Pre1hr;    Rainfall in past 1 hr (conv + explicit);    Plan;    rtot1h; MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
Pref0ac;   Accumulated rainfall in forecast (co + ex); Plan;    rtot1h; MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
Snow1hr;   Snowfall accumulation in past hour;         Plan;    SNOWH;  MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
Snowf0ac;  Snowfall accumulation in fcst;              Plan;    SNOWH;  MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
Pre1hrZ;   1-hr Rainfall, MSLP and 1000-500 dZ;        Plan;    rtot1h; slp;    thck100050;U10,V10;MMM;   MMM;     MMM;     MMM;    MMM;    MMM;    0;     3;     3;     MMM;        Brb;      M,M,M,M
Pre1hrZ2;  1-hr Rainfall, MSLP and 850-700 dZ;         Plan;    rtot1h; slp;    thck085070;U10,V10;MMM;   MMM;     MMM;     MMM;    MMM;    MMM;    0;     3;     3;     MMM;        Brb;      M,M,M,M
ms500h;    MSLP and 1000-500 mb Thickness;             Plan;    ter;    slp;    thck100050;MMM;  MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     3;     3;     MMM;        MMM;      M,M,M,M
sfcvis;    Surface Visibility;                         Special; visb;   MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
ThEsfcWnd; Theta-E and winds at lowest sigma level;    Plan;    eth;    MMM;    MMM;    uuu,vvv; s;       MMM;     MMM;     1fb;    MMM;    MMM;    0;     0;     0;     MMM;        Brb;      2,1,1,0
cin;       Convective Inhibition;                      Plan;    mcin;   MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      2,1,1,0
pblhgt;    PBL Height;                                 Special; PBLH;   MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,1,0
FzLevHgt;  Freezing Level Height abv ground level;     Special; ghtagl; MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      2,1,1,0
FzLevHgtAMSL;Freezing Level Height abv mean sea level; Special; ght;    MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      2,1,1,0
radar;     Simulated Radar Reflectivity;               Raster;  maxdbz; MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
pcpwtr;    Precipitable Water (precip + vapor);        Plan;    pcptw;  MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
pcpwv;     Precipitable Water Vapor;                   Plan;    pcpwv;  MMM;    MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      M,M,M,M
WSPD10MAX; Maximum 10-m wind speed;                    Plan;    WSPD10MAX;MMM;  MMM;    MMM;     MMM;     MMM;     MMM;     MMM;    MMM;    MMM;    0;     0;     0;     MMM;        MMM;      2,1,1,0
T975Wnd;   975 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     975;    975;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T950Wnd;   950 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     950;    950;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T925Wnd;   925 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     925;    925;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T900Wnd;   900 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     900;    900;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T850Wnd;   850 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     850;    850;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T800Wnd;   800 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     800;    800;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T750Wnd;   750 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     750;    750;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T700Wnd;   700 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     700;    700;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T600Wnd;   600 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     600;    600;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T500Wnd;   500 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     500;    500;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T400Wnd;   400 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     400;    400;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T300Wnd;   300 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     300;    300;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T250Wnd;   250 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     250;    250;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
T200Wnd;   200 mb Temp, Wind, and Geopotential Height; Plan;    tmc;    ght;    MMM;    uuu,vvv; p;       p;       MMM;     200;    200;    MMM;    0;     3;     0;     0;          Brb;      2,1,1,0
RH975Wnd;  975 mb Rel. Hum. (w.r.t. water) and Wind;   Plan;    rhu;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     975;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH950Wnd;  950 mb Rel. Hum. (w.r.t. water) and Wind;   Plan;    rhu;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     950;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH925Wnd;  925 mb Rel. Hum. (w.r.t. water) and Wind;   Plan;    rhu;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     925;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH900Wnd;  900 mb Rel. Hum. (w.r.t. water) and Wind;   Plan;    rhu;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     900;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH850Wnd;  850 mb Rel. Hum. (w.r.t. water) and Wind;   Plan;    rhu;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     850;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH800Wnd;  800 mb Rel. Hum. (w.r.t. water) and Wind;   Plan;    rhu;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     800;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH750Wnd;  750 mb Rel. Hum. (w.r.t. water) and Wind;   Plan;    rhu;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     750;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH700Wnd;  700 mb Rel. Hum. (w.r.t. water) and Wind;   Plan;    rhu;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     700;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH500Wnd;  500 mb Rel. Hum. (w.r.t. ice) and Wind;     Plan;    rhi;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     500;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH400Wnd;  400 mb Rel. Hum. (w.r.t. ice) and Wind;     Plan;    rhi;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     400;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH300Wnd;  300 mb Rel. Hum. (w.r.t. ice) and Wind;     Plan;    rhi;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     300;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH250Wnd;  250 mb Rel. Hum. (w.r.t. ice) and Wind;     Plan;    rhi;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     250;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
RH200Wnd;  200 mb Rel. Hum. (w.r.t. ice) and Wind;     Plan;    rhi;    MMM;    MMM;    uuu,vvv; p;       MMM;     MMM;     200;    MMM;    MMM;    1;     0;     0;     MMM;        Brb;      M,1,1,0
VV600m;    600 m AGL vertical motion;                  Special; ter;    www;    MMM;    MMM;     MMM;     s;       MMM;     MMM;    8fb;    MMM;    0;     1;     0;     MMM;        MMM;      M,M,M,M
