ID,LAT,LON,ALT,LATDMS,LONDMS,SITE,CONTRY,J,I,H
OEAB,18.2404,42.6566,2090,"18° 14' 25"" N","42° 39' 24"" E",Abha,KSA,128,186,2082
OEAH,25.2853,49.4852,179,"25° 17' 7"" N","49° 29' 7"" E",Al Ahsa,KSA,229,277,205
OEAO,26.4780,38.1170,624,"26° 29' 0"" N","38° 7' 1"" E",Al-Ula,KSA,248,125,624
OEBA,20.2961,41.6343,1652,"20° 17' 46"" N","41° 38' 3"" E",Al Baha,KSA,157,172,1622
OEBH,19.9843,42.6209,1167,"19° 59' 4"" N","42° 37' 15"" E",Bisha,KSA,153,186,1176
OEDF,26.4333,49.8000,12,"26° 26' 0"" N","49° 48' 0"" E",Dammam,KSA,247,282,11
OEDR,26.2654,50.1520,17,"26° 15' 56"" N","50° 9' 7"" E",Dhahran,KSA,244,286,19
OEGN,16.9011,42.5858,6,"16° 54' 4"" N","42° 35' 9"" E",Gizan,KSA,109,185,4
OEGS,26.3028,43.7744,648,"26° 18' 10"" N","43° 46' 28"" E",Gassim,KSA,245,201,650
OEGT,31.4119,37.2795,504,"31° 24' 43"" N","37° 16' 46"" E",Guriat,KSA,323,114,527
OEHL,27.4379,41.6863,1015,"27° 26' 17"" N","41° 41' 11"" E",Hail,KSA,262,173,1046
OEJN,21.7000,39.1833,15,"21° 42' 0"" N","39° 11' 0"" E",Jeddah,KSA,177,140,54
OEKK,27.9009,45.5282,413,"27° 54' 3"" N","45° 31' 41"" E",Hafr Al-Batin,KSA,269,224,410
OEKJ,24.0667,47.5833,500,"24° 4' 0"" N","47° 35' 0"" E",Al-Kharj,KSA,212,252,470
OEKM,18.2973,42.8035,2056,"18° 17' 50"" N","42° 48' 13"" E",Khamis Mushait,KSA,129,188,2026
OEMA,24.5534,39.7051,636,"24° 33' 12"" N","39° 42' 18"" E",Madinah,KSA,219,147,669
OEMK,21.4393,39.9953,369,"21° 26' 21"" N","39° 59' 43"" E",Makkah,KSA,173,151,470
OENG,17.6114,44.4192,1212,"17° 36' 41"" N","44° 25' 9"" E",Najran,KSA,119,210,1216
OEPA,28.3167,46.1333,358,"28° 19' 0"" N","46° 8' 0"" E",Al Qaysumah,KSA,275,233,362
OERF,29.6264,43.4906,449,"29° 37' 35"" N","43° 29' 26"" E",Rafha,KSA,295,197,455
OERK,24.9333,46.7167,612,"24° 56' 0"" N","46° 43' 0"" E",King Khaled Inter. Airport,KSA,224,240,634
OERR,30.9066,41.1382,555,"30° 54' 24"" N","41° 8' 18"" E",Arar,KSA,315,166,542
OESH,17.4669,47.1214,720,"17° 28' 1"" N","47° 7' 17"" E",Sharurah,KSA,117,246,748
OESK,29.7851,40.1000,689,"29° 47' 6"" N","40° 6' 0"" E",Al-Jouf,KSA,297,152,662
OETB,28.3833,36.6000,768,"28° 23' 0"" N","36° 36' 0"" E",Tabuk,KSA,276,105,761
OETF,21.4834,40.5443,1478,"21° 29' 0"" N","40° 32' 40"" E",Taif,KSA,174,158,1447
OETR,31.6927,38.7312,852,"31° 41' 34"" N","38° 43' 52"" E",Turaif,KSA,327,134,857
OEWD,20.5043,45.1996,629,"20° 30' 15"" N","45° 11' 58"" E",Wadi Al Dawasser Airport,KSA,160,220,625
OEWJ,26.1986,36.4764,20,"26° 11' 55"" N","36° 28' 35"" E",Wejh,KSA,243,103,8
OEYN,24.1442,38.0633,8,"24° 8' 39"" N","38° 3' 48"" E",Yenbo,KSA,213,125,15
