OEAB	41112	Abha	Saudi Arabia
Latitude	18° 14' 25" N (deg min sec)	18.2404° (decimal)
Longitude	42° 39' 24" E (deg min sec)	42.6566° (decimal)
Elevation	2090 metres (6857 feet)
