  19651.9    4826.50  1     STOOPS
  20196.0    5402.3   2     KINNARD
  20404.70   5831.30  3     HOWELL PT.
  21200.20   6200.30  4     GROVE PT.
  19654.10   6780.30  6     PERRYMAN
  19280.10   6600.70  7     LONG BAR
  19361.25   4244.60  8     TOLCHESTER
  19800.00   5250.00  9     WORTON POINT
  21600.00   6600.90 10     CRYSTAL BEACH
  19480.00   4600.00 11     BOWLEY'S QUARTERS
  20804.30   5814.10 12     BETTERTON
  20520.00   7650.00 13     HAVRE DE GRACE
  20050.00   7330.00 14     ABERDEEN
  18220.00   5775.00 15     CHASE
  21500.00   7330.00 16     RED POINT
  21400.00   7850.00 17     CHARLESTOWN
  18627.63   6397.90 18     EDGEWOOD
  21385.20   6840.30 19     TURKEY
