  80    38.829    39.840   -75.789   -75.405  Maryland-Delaware state line   
    39.730   -76.119    39.726   -76.119    39.724   -76.124    39.726   -76.127
    39.728   -76.131    39.728   -76.134    39.726   -76.138    39.722   -76.140
 136    39.719    40.072   -77.139   -76.958   Penn Adams-York county line
    39.719   -77.000    39.750   -77.000    39.759   -77.000    39.775   -77.000
    39.800   -77.000    39.801   -77.000    39.831   -77.001    39.833   -76.996
    39.834   -76.992    39.836   -76.989    39.839   -76.986    39.844   -76.983
    39.848   -76.982    39.850   -76.973    39.851   -76.972    39.852   -76.966
    39.852   -76.964    39.854   -76.961    39.857   -76.958    39.858   -76.958
    39.861   -76.959    39.862   -76.960    39.865   -76.963    39.868   -76.964
    39.872   -76.965    39.874   -76.966    39.873   -76.968    39.873   -76.971
    39.874   -76.974    39.875   -76.977    39.877   -76.979    39.881   -76.980
    39.901   -76.985    39.903   -76.984    39.907   -76.981    39.911   -76.977
    39.916   -76.972    39.919   -76.971    39.921   -76.971    39.923   -76.973
    39.926   -76.973    39.932   -76.973    39.934   -76.972    39.936   -76.969
    39.937   -76.969    39.981   -76.999    40.011   -77.018    40.016   -77.023
    40.019   -77.028    40.019   -77.033    40.020   -77.039    40.022   -77.048
    40.023   -77.057    40.024   -77.062    40.027   -77.067    40.033   -77.074
    40.041   -77.078    40.048   -77.084    40.051   -77.087    40.058   -77.096
    40.061   -77.099    40.063   -77.108    40.064   -77.109    40.064   -77.112
    40.065   -77.115    40.068   -77.124    40.071   -77.135    40.072   -77.139
  24    38.801    39.132   -77.009   -76.888  Montgomery-Prince Georges cty line
    39.132   -76.888    39.044   -76.954    39.026   -76.966    38.983   -76.998
    38.969   -77.009    38.954   -76.989    38.910   -76.932    38.892   -76.910
    38.887   -76.918    38.862   -76.950    38.829   -76.992    38.801   -77.026
  80    39.242    39.262   -75.930   -75.756  Kent-Queen Annes county line
    39.247   -75.930    39.245   -75.918    39.246   -75.910    39.247   -75.896
    39.250   -75.894    39.254   -75.892    39.254   -75.891    39.255   -75.889
    39.254   -75.887    39.252   -75.886    39.251   -75.885    39.251   -75.884
    39.251   -75.879    39.250   -75.875    39.252   -75.873    39.255   -75.871
    39.258   -75.869    39.260   -75.867    39.262   -75.864    39.261   -75.853
    39.260   -75.851    39.259   -75.848    39.258   -75.845    39.258   -75.843
    39.254   -75.838    39.247   -75.824    39.246   -75.821    39.246   -75.813
    39.244   -75.809    39.243   -75.807    39.243   -75.806    39.243   -75.804
    39.242   -75.801    39.242   -75.800    39.244   -75.793    39.245   -75.784
    39.245   -75.775    39.247   -75.771    39.247   -75.762    39.246   -75.756
 300    38.827    39.144   -75.950   -75.748   Queen Annes-Caroline cty line
    39.144   -75.748    39.143   -75.751    39.140   -75.759    39.136   -75.771
    39.135   -75.789    39.134   -75.791    39.131   -75.795    39.130   -75.799
    39.128   -75.801    39.127   -75.803    39.125   -75.806    39.122   -75.807
    39.117   -75.821    39.116   -75.822    39.114   -75.823    39.110   -75.828
    39.109   -75.832    39.107   -75.836    39.105   -75.836    39.103   -75.839
    39.101   -75.840    39.099   -75.841    39.096   -75.841    39.094   -75.842
    39.093   -75.843    39.090   -75.846    39.087   -75.847    39.085   -75.847
    39.083   -75.847    39.075   -75.849    39.071   -75.852    39.063   -75.860
    39.061   -75.865    39.057   -75.871    39.050   -75.874    39.048   -75.877
    39.042   -75.877    39.040   -75.877    39.036   -75.881    39.035   -75.882
    39.032   -75.882    39.029   -75.883    39.025   -75.888    39.018   -75.895
    39.017   -75.899    39.017   -75.900    39.016   -75.902    39.013   -75.903
    39.011   -75.908    39.010   -75.909    39.007   -75.911    39.004   -75.916
    39.002   -75.917    38.998   -75.919    38.997   -75.920    38.995   -75.922
    38.993   -75.924    38.991   -75.928    38.988   -75.929    38.986   -75.931
    38.984   -75.933    38.982   -75.934    38.979   -75.936    38.977   -75.938
    38.976   -75.937    38.975   -75.935    38.973   -75.934    38.970   -75.936
    38.968   -75.941    38.966   -75.940    38.961   -75.938    38.960   -75.937
    38.957   -75.938    38.956   -75.938    38.955   -75.939    38.953   -75.940
    38.952   -75.940    38.948   -75.943    38.947   -75.945    38.946   -75.947
    38.943   -75.948    38.942   -75.948    38.940   -75.946    38.938   -75.948
    38.936   -75.948    38.933   -75.948    38.931   -75.950    38.930   -75.950
    38.926   -75.949    38.925   -75.949    38.923   -75.947    38.920   -75.946
    38.918   -75.945    38.917   -75.945    38.915   -75.945    38.912   -75.946
    38.909   -75.946    38.909   -75.942    38.907   -75.942    38.904   -75.945
    38.901   -75.945    38.898   -75.944    38.896   -75.944    38.893   -75.945
    38.891   -75.944    38.889   -75.941    38.888   -75.940    38.885   -75.941
    38.884   -75.947    38.881   -75.949    38.880   -75.949    38.879   -75.945
    38.880   -75.943    38.880   -75.942    38.882   -75.939    38.881   -75.937
    38.879   -75.937    38.877   -75.940    38.874   -75.942    38.872   -75.941
    38.869   -75.940    38.867   -75.938    38.867   -75.933    38.866   -75.932
    38.865   -75.932    38.863   -75.932    38.861   -75.927    38.860   -75.926
    38.859   -75.922    38.857   -75.920    38.856   -75.921    38.854   -75.921
    38.853   -75.923    38.852   -75.924    38.852   -75.925    38.850   -75.926
    38.848   -75.928    38.847   -75.925    38.845   -75.919    38.845   -75.918
    38.844   -75.918    38.842   -75.921    38.840   -75.923    38.837   -75.924
    38.837   -75.923    38.835   -75.920    38.832   -75.911    38.830   -75.910
    38.827   -75.906    38.827   -75.902
 236    38.747    39.105   -76.840   -76.671  Anne Arundel-Prince Georges cty ln
    39.105   -76.840    39.104   -76.838    39.098   -76.837    39.095   -76.827
    39.092   -76.827    39.090   -76.830    39.087   -76.833    39.085   -76.835
    39.081   -76.835    39.078   -76.835    39.075   -76.835    39.073   -76.837
    39.069   -76.836    39.069   -76.835    39.068   -76.832    39.068   -76.831
    39.066   -76.824    39.064   -76.821    39.062   -76.810    39.060   -76.808
    39.057   -76.806    39.055   -76.802    39.052   -76.800    39.049   -76.796
    39.047   -76.793    39.045   -76.788    39.047   -76.781    39.047   -76.780
    39.044   -76.774    39.042   -76.774    39.040   -76.770    39.040   -76.767
    39.037   -76.761    39.037   -76.760    39.036   -76.757    39.036   -76.757
    39.035   -76.754    39.033   -76.750    39.032   -76.750    39.030   -76.750
    39.027   -76.745    39.025   -76.745    39.023   -76.744    39.019   -76.745
    39.015   -76.741    39.008   -76.732    39.006   -76.729    39.005   -76.726
    39.002   -76.726    38.999   -76.725    38.997   -76.723    38.995   -76.717
    38.994   -76.711    38.990   -76.709    38.983   -76.701    38.981   -76.702
    38.976   -76.704    38.972   -76.705    38.970   -76.705    38.966   -76.702
    38.963   -76.700    38.957   -76.698    38.954   -76.696    38.944   -76.695
    38.942   -76.695    38.940   -76.693    38.938   -76.693    38.935   -76.694
    38.933   -76.693    38.933   -76.691    38.932   -76.688    38.931   -76.687
    38.927   -76.685    38.924   -76.686    38.923   -76.690    38.922   -76.691
    38.920   -76.690    38.917   -76.688    38.916   -76.683    38.908   -76.679
    38.905   -76.672    38.900   -76.671    38.896   -76.676    38.892   -76.677
    38.890   -76.677    38.887   -76.675    38.886   -76.673    38.885   -76.675
    38.882   -76.677    38.874   -76.679    38.865   -76.686    38.863   -76.690
    38.858   -76.693    38.854   -76.692    38.847   -76.697    38.839   -76.701
    38.829   -76.700    38.820   -76.698    38.815   -76.703    38.816   -76.707
    38.813   -76.711    38.808   -76.711    38.805   -76.710    38.799   -76.712
    38.796   -76.711    38.789   -76.705    38.787   -76.704    38.786   -76.705
    38.783   -76.711    38.781   -76.714    38.776   -76.714    38.774   -76.714
    38.767   -76.703    38.765   -76.702    38.757   -76.700    38.751   -76.700
    38.748   -76.698    38.747   -76.687
 166    39.127    39.348   -77.185   -76.888   Howard-Montgomery county line
    39.348   -77.182    39.342   -77.185    39.334   -77.183    39.320   -77.174
    39.313   -77.168    39.308   -77.162    39.302   -77.155    39.297   -77.145
    39.293   -77.141    39.286   -77.137    39.283   -77.138    39.278   -77.133
    39.272   -77.133    39.271   -77.130    39.270   -77.120    39.266   -77.114
    39.267   -77.104    39.258   -77.078    39.253   -77.067    39.246   -77.063
    39.240   -77.061    39.238   -77.049    39.226   -77.036    39.218   -77.029
    39.211   -77.019    39.208   -77.014    39.205   -77.011    39.200   -77.011
    39.197   -77.011    39.195   -77.011    39.193   -77.007    39.192   -77.007
    39.189   -77.006    39.187   -77.006    39.186   -77.007    39.184   -77.008
    39.182   -77.009    39.181   -77.006    39.179   -77.006    39.179   -77.006
    39.177   -77.006    39.176   -77.004    39.176   -77.000    39.176   -76.999
    39.175   -76.999    39.173   -76.999    39.170   -77.000    39.167   -76.997
    39.167   -76.988    39.165   -76.985    39.163   -76.977    39.162   -76.973
    39.160   -76.973    39.155   -76.974    39.152   -76.976    39.152   -76.974
    39.150   -76.970    39.149   -76.964    39.146   -76.958    39.146   -76.955
    39.146   -76.953    39.145   -76.951    39.144   -76.951    39.142   -76.951
    39.140   -76.952    39.138   -76.953    39.137   -76.957    39.137   -76.958
    39.131   -76.948    39.133   -76.942    39.134   -76.938    39.135   -76.935
    39.138   -76.934    39.138   -76.932    39.138   -76.928    39.135   -76.925
    39.132   -76.919    39.131   -76.917    39.128   -76.912    39.127   -76.903
    39.128   -76.897    39.131   -76.893    39.132   -76.888
  20    39.105    39.132   -76.888   -76.840   Howard-Prince Georges county line
    39.105   -76.840    39.107   -76.844    39.109   -76.849    39.110   -76.858
    39.116   -76.871    39.121   -76.875    39.125   -76.881    39.128   -76.883
    39.131   -76.884    39.132   -76.888
  70    39.105    39.214   -76.840   -76.701   Howard-Anne Arundel county line
    39.214   -76.701    39.209   -76.705    39.207   -76.706    39.206   -76.707
    39.204   -76.709    39.203   -76.710    39.201   -76.711    39.198   -76.712
    39.194   -76.713    39.193   -76.716    39.191   -76.720    39.190   -76.721
    39.187   -76.722    39.185   -76.723    39.185   -76.725    39.184   -76.730
    39.180   -76.737    39.181   -76.747    39.178   -76.753    39.171   -76.762
    39.166   -76.770    39.152   -76.779    39.143   -76.785    39.131   -76.789
    39.128   -76.793    39.124   -76.800    39.126   -76.806    39.125   -76.813
    39.124   -76.817    39.119   -76.826    39.115   -76.828    39.112   -76.827
    39.110   -76.830    39.108   -76.836    39.105   -76.840
 114    39.214    39.351   -76.881   -76.701   Howard-Baltimore county line
    39.351   -76.881    39.345   -76.879    39.341   -76.875    39.338   -76.875
    39.334   -76.877    39.333   -76.875    39.333   -76.872    39.332   -76.866
    39.332   -76.864    39.329   -76.859    39.325   -76.857    39.322   -76.854
    39.319   -76.854    39.319   -76.848    39.317   -76.841    39.318   -76.836
    39.317   -76.833    39.319   -76.827    39.319   -76.824    39.314   -76.820
    39.313   -76.816    39.313   -76.813    39.316   -76.808    39.317   -76.802
    39.315   -76.795    39.313   -76.794    39.310   -76.793    39.306   -76.794
    39.304   -76.794    39.302   -76.791    39.299   -76.782    39.298   -76.780
    39.297   -76.779    39.295   -76.779    39.292   -76.782    39.284   -76.784
    39.276   -76.787    39.270   -76.791    39.268   -76.791    39.266   -76.789
    39.262   -76.785    39.261   -76.776    39.255   -76.769    39.251   -76.765
    39.248   -76.760    39.245   -76.759    39.241   -76.752    39.232   -76.743
    39.230   -76.737    39.229   -76.730    39.229   -76.729    39.230   -76.723
    39.227   -76.718    39.225   -76.715    39.223   -76.710    39.218   -76.706
    39.214   -76.701
 154    39.400    39.721   -76.570   -76.361   Baltimore-Harford county line
    39.400   -76.361    39.400   -76.361    39.405   -76.371    39.408   -76.371
    39.416   -76.370    39.419   -76.373    39.425   -76.380    39.429   -76.379
    39.439   -76.380    39.445   -76.380    39.453   -76.388    39.456   -76.388
    39.459   -76.388    39.460   -76.389    39.462   -76.392    39.466   -76.395
    39.470   -76.399    39.471   -76.403    39.473   -76.406    39.476   -76.408
    39.479   -76.411    39.478   -76.415    39.478   -76.419    39.479   -76.420
    39.481   -76.422    39.483   -76.426    39.487   -76.429    39.488   -76.432
    39.490   -76.434    39.494   -76.434    39.498   -76.431    39.502   -76.429
    39.503   -76.430    39.505   -76.430    39.506   -76.432    39.506   -76.433
    39.505   -76.436    39.504   -76.438    39.504   -76.440    39.505   -76.440
    39.508   -76.445    39.507   -76.449    39.509   -76.457    39.510   -76.460
    39.511   -76.462    39.511   -76.466    39.516   -76.471    39.516   -76.474
    39.517   -76.478    39.520   -76.481    39.525   -76.488    39.525   -76.498
    39.524   -76.505    39.527   -76.511    39.533   -76.517    39.537   -76.522
    39.544   -76.528    39.546   -76.534    39.547   -76.533    39.552   -76.535
    39.556   -76.535    39.558   -76.534    39.560   -76.535    39.563   -76.537
    39.567   -76.540    39.569   -76.542    39.573   -76.543    39.575   -76.545
    39.578   -76.546    39.579   -76.546    39.583   -76.547    39.586   -76.549
    39.588   -76.550    39.591   -76.556    39.597   -76.560    39.617   -76.567
    39.721   -76.570
 128    39.351    39.721   -76.897   -76.789   Carroll-Baltimore county line
    39.721   -76.789    39.501   -76.868    39.494   -76.871    39.490   -76.869
    39.485   -76.868    39.482   -76.872    39.480   -76.876    39.479   -76.877
    39.478   -76.878    39.477   -76.880    39.472   -76.882    39.468   -76.884
    39.464   -76.886    39.462   -76.888    39.460   -76.889    39.458   -76.889
    39.456   -76.891    39.454   -76.889    39.452   -76.885    39.453   -76.879
    39.451   -76.876    39.448   -76.877    39.446   -76.883    39.445   -76.889
    39.442   -76.891    39.440   -76.891    39.438   -76.892    39.437   -76.894
    39.434   -76.897    39.430   -76.897    39.426   -76.896    39.423   -76.888
    39.421   -76.882    39.420   -76.879    39.419   -76.878    39.415   -76.880
    39.413   -76.882    39.407   -76.883    39.403   -76.881    39.399   -76.883
    39.395   -76.883    39.391   -76.882    39.389   -76.885    39.387   -76.886
    39.385   -76.889    39.383   -76.889    39.380   -76.892    39.373   -76.889
    39.371   -76.888    39.367   -76.886    39.365   -76.884    39.365   -76.882
    39.364   -76.880    39.362   -76.880    39.360   -76.879    39.359   -76.878
    39.359   -76.877    39.358   -76.876    39.357   -76.875    39.356   -76.875
    39.356   -76.876    39.356   -76.878    39.356   -76.879    39.351   -76.881
  92    39.349    39.369   -77.169   -76.881   Carroll-Howard county line
    39.351   -76.881    39.353   -76.888    39.354   -76.896    39.355   -76.902
    39.355   -76.904    39.354   -76.907    39.352   -76.909    39.350   -76.909
    39.349   -76.910    39.349   -76.912    39.350   -76.914    39.351   -76.921
    39.353   -76.925    39.354   -76.929    39.358   -76.936    39.358   -76.938
    39.357   -76.943    39.359   -76.948    39.357   -76.959    39.359   -76.962
    39.361   -76.970    39.360   -76.976    39.361   -76.985    39.356   -77.006
    39.352   -77.016    39.353   -77.028    39.354   -77.035    39.361   -77.050
    39.360   -77.056    39.359   -77.060    39.360   -77.065    39.363   -77.069
    39.366   -77.082    39.369   -77.089    39.369   -77.094    39.369   -77.101
    39.368   -77.104    39.365   -77.110    39.364   -77.116    39.363   -77.125
    39.360   -77.135    39.354   -77.144    39.350   -77.151    39.351   -77.157
    39.354   -77.166    39.354   -77.169
 160    39.205    39.372   -76.712   -76.530   Baltimore county line
    39.243   -76.530    39.317   -76.530    39.370   -76.531    39.372   -76.531
    39.372   -76.605    39.372   -76.684    39.372   -76.712    39.348   -76.712
    39.277   -76.711    39.237   -76.619    39.227   -76.604    39.207   -76.585
    39.205   -76.579    39.206   -76.579    39.209   -76.583    39.211   -76.585
    39.215   -76.584    39.217   -76.581    39.220   -76.577    39.223   -76.575
    39.226   -76.577    39.228   -76.576    39.228   -76.571    39.228   -76.566
    39.232   -76.565    39.238   -76.570    39.242   -76.575    39.245   -76.580
    39.247   -76.587    39.248   -76.594    39.249   -76.599    39.249   -76.604
    39.247   -76.608    39.245   -76.611    39.242   -76.615    39.247   -76.617
    39.250   -76.620    39.252   -76.627    39.256   -76.627    39.260   -76.625
    39.263   -76.625    39.267   -76.628    39.271   -76.626    39.274   -76.624
    39.271   -76.621    39.266   -76.621    39.262   -76.621    39.259   -76.619
    39.257   -76.617    39.260   -76.613    39.261   -76.609    39.264   -76.599
    39.268   -76.590    39.273   -76.591    39.275   -76.596    39.277   -76.602
    39.277   -76.605    39.277   -76.609    39.279   -76.610    39.284   -76.609
    39.287   -76.607    39.288   -76.603    39.284   -76.595    39.281   -76.591
    39.281   -76.584    39.280   -76.575    39.274   -76.572    39.266   -76.572
    39.263   -76.571    39.262   -76.569    39.265   -76.563    39.264   -76.556
    39.261   -76.553    39.260   -76.549    39.258   -76.542    39.256   -76.540
    39.248   -76.538    39.242   -76.536    39.243   -76.533    39.243   -76.530
 392    39.298    39.786   -75.564   -75.432   Delaware Bay (to right)
    39.298   -75.433    39.305   -75.437    39.311   -75.439    39.317   -75.441
    39.320   -75.446    39.321   -75.454    39.324   -75.457    39.329   -75.459
    39.334   -75.464    39.336   -75.474    39.339   -75.479    39.341   -75.482
    39.341   -75.485    39.338   -75.485    39.333   -75.483    39.329   -75.485
    39.329   -75.488    39.335   -75.492    39.336   -75.495    39.336   -75.503
    39.337   -75.505    39.340   -75.503    39.344   -75.501    39.345   -75.502
    39.349   -75.504    39.350   -75.504    39.350   -75.496    39.350   -75.495
    39.355   -75.496    39.360   -75.501    39.365   -75.506    39.365   -75.511
    39.365   -75.515    39.370   -75.517    39.377   -75.513    39.380   -75.514
    39.384   -75.517    39.389   -75.522    39.393   -75.524    39.395   -75.527
    39.394   -75.530    39.393   -75.535    39.395   -75.541    39.397   -75.543
    39.398   -75.542    39.399   -75.538    39.398   -75.533    39.398   -75.529
    39.401   -75.524    39.407   -75.527    39.409   -75.529    39.410   -75.534
    39.413   -75.537    39.419   -75.538    39.422   -75.539    39.427   -75.544
    39.432   -75.554    39.437   -75.558    39.442   -75.559    39.447   -75.549
    39.456   -75.561    39.483   -75.564    39.497   -75.559    39.498   -75.554
    39.498   -75.544    39.498   -75.536    39.498   -75.533    39.498   -75.531
    39.499   -75.528    39.499   -75.528    39.501   -75.528    39.501   -75.528
    39.503   -75.528    39.506   -75.530    39.507   -75.530    39.509   -75.531
    39.511   -75.531    39.513   -75.530    39.515   -75.529    39.518   -75.528
    39.519   -75.529    39.521   -75.529    39.523   -75.529    39.527   -75.528
    39.531   -75.527    39.534   -75.526    39.535   -75.526    39.536   -75.527
    39.537   -75.529    39.538   -75.531    39.540   -75.533    39.541   -75.534
    39.544   -75.533    39.546   -75.531    39.549   -75.527    39.551   -75.524
    39.554   -75.521    39.556   -75.519    39.558   -75.517    39.561   -75.516
    39.564   -75.514    39.567   -75.513    39.570   -75.511    39.573   -75.510
    39.576   -75.511    39.579   -75.513    39.581   -75.516    39.583   -75.519
    39.584   -75.524    39.585   -75.528    39.586   -75.530    39.588   -75.532
    39.589   -75.534    39.591   -75.535    39.593   -75.536    39.594   -75.536
    39.595   -75.538    39.596   -75.540    39.597   -75.542    39.598   -75.545
    39.598   -75.545    39.600   -75.549    39.603   -75.553    39.605   -75.555
    39.606   -75.556    39.608   -75.556    39.615   -75.558    39.621   -75.560
    39.625   -75.560    39.629   -75.559    39.632   -75.558    39.635   -75.556
    39.637   -75.554    39.639   -75.551    39.640   -75.549    39.642   -75.547
    39.644   -75.545    39.646   -75.542    39.647   -75.538    39.649   -75.534
    39.650   -75.533    39.651   -75.532    39.653   -75.531    39.655   -75.529
    39.657   -75.528    39.659   -75.526    39.661   -75.523    39.663   -75.521
    39.665   -75.518    39.667   -75.516    39.670   -75.514    39.673   -75.512
    39.676   -75.512    39.680   -75.511    39.682   -75.511    39.686   -75.510
    39.690   -75.510    39.694   -75.509    39.696   -75.508    39.698   -75.506
    39.700   -75.504    39.702   -75.501    39.704   -75.498    39.708   -75.496
    39.713   -75.494    39.715   -75.493    39.716   -75.491    39.717   -75.490
    39.716   -75.488    39.716   -75.486    39.716   -75.484    39.716   -75.483
    39.717   -75.481    39.719   -75.481    39.720   -75.481    39.723   -75.480
    39.727   -75.479    39.730   -75.478    39.733   -75.478    39.736   -75.477
    39.739   -75.474    39.743   -75.472    39.746   -75.470    39.750   -75.468
    39.754   -75.467    39.757   -75.465    39.760   -75.464    39.762   -75.462
    39.764   -75.460    39.766   -75.458    39.767   -75.456    39.770   -75.453
    39.773   -75.450    39.779   -75.443    39.784   -75.435    39.786   -75.432
  66    39.440    39.482   -76.093   -76.061   Spesutie Island
    39.482   -76.087    39.480   -76.090    39.476   -76.089    39.472   -76.089
    39.465   -76.089    39.458   -76.091    39.451   -76.093    39.447   -76.092
    39.446   -76.088    39.444   -76.083    39.440   -76.082    39.441   -76.079
    39.445   -76.074    39.449   -76.070    39.453   -76.067    39.453   -76.062
    39.455   -76.061    39.457   -76.061    39.459   -76.062    39.459   -76.063
    39.461   -76.067    39.463   -76.070    39.465   -76.072    39.469   -76.070
    39.473   -76.069    39.474   -76.069    39.476   -76.070    39.479   -76.073
    39.478   -76.076    39.477   -76.080    39.478   -76.082    39.480   -76.083
    39.482   -76.087
  30    39.234    39.250   -76.391   -76.371   Miller Island
    39.250   -76.380    39.250   -76.383    39.248   -76.385    39.246   -76.387
    39.242   -76.389    39.237   -76.391    39.234   -76.390    39.234   -76.387
    39.235   -76.386    39.240   -76.382    39.244   -76.378    39.246   -76.376
    39.250   -76.371    39.250   -76.377    39.250   -76.380
  44    39.282    39.297   -76.274   -76.258   Pooles Island
    39.286   -76.262    39.287   -76.259    39.289   -76.258    39.291   -76.259
    39.294   -76.260    39.296   -76.261    39.297   -76.262    39.297   -76.265
    39.295   -76.268    39.294   -76.272    39.292   -76.274    39.291   -76.274
    39.289   -76.273    39.287   -76.271    39.284   -76.272    39.282   -76.272
    39.282   -76.269    39.282   -76.268    39.282   -76.267    39.283   -76.265
    39.285   -76.265    39.286   -76.262
 102    38.903    38.867   -76.114   -76.185   X Island 
    38.900   -76.166    38.897   -76.164    38.892   -76.164    38.889   -76.166
    38.888   -76.169    38.887   -76.172    38.884   -76.174    38.882   -76.178
    38.882   -76.182    38.882   -76.184    38.877   -76.185    38.873   -76.184
    38.870   -76.183    38.867   -76.180    38.867   -76.178    38.869   -76.175
    38.871   -76.172    38.873   -76.167    38.875   -76.163    38.877   -76.164
    38.879   -76.167    38.882   -76.164    38.883   -76.159    38.884   -76.153
    38.886   -76.151    38.889   -76.147    38.887   -76.144    38.886   -76.142
    38.887   -76.139    38.889   -76.138    38.890   -76.137    38.889   -76.135
    38.888   -76.131    38.887   -76.124    38.887   -76.118    38.891   -76.114
    38.893   -76.115    38.894   -76.118    38.894   -76.121    38.897   -76.126
    38.898   -76.127    38.902   -76.130    38.903   -76.131    38.903   -76.135
    38.902   -76.138    38.902   -76.139    38.901   -76.148    38.901   -76.155
    38.902   -76.161    38.903   -76.165    38.900   -76.166
  22    38.918    38.906   -76.239   -76.251   Y Island
    38.907   -76.245    38.909   -76.242    38.913   -76.239    38.916   -76.240
    38.918   -76.243    38.916   -76.247    38.912   -76.249    38.909   -76.251
    38.906   -76.251    38.906   -76.247    38.907   -76.245
 400    38.842    39.041   -76.376   -76.246  Kent Island
    38.999   -76.288    39.007   -76.293    39.012   -76.296    39.018   -76.298
    39.026   -76.299    39.030   -76.299    39.034   -76.299    39.037   -76.297
    39.039   -76.296    39.041   -76.298    39.041   -76.300    39.040   -76.303
