  80    38.829    39.840   -75.789   -75.405  Maryland-Delaware state line   
    38.829   -75.723    38.883   -75.727    39.032   -75.739    39.184   -75.751
    39.296   -75.760    39.332   -75.762    39.483   -75.775    39.650   -75.789
    39.723   -75.788    39.723   -75.773    39.731   -75.770    39.740   -75.767
    39.748   -75.761    39.756   -75.755    39.765   -75.748    39.775   -75.738
    39.784   -75.727    39.791   -75.718    39.799   -75.706    39.807   -75.693
    39.815   -75.678    39.820   -75.666    39.827   -75.647    39.831   -75.631
    39.835   -75.615    39.838   -75.596    39.840   -75.577    39.840   -75.560
    39.840   -75.546    39.840   -75.531    39.838   -75.516    39.835   -75.502
    39.831   -75.488    39.827   -75.471    39.821   -75.455    39.816   -75.442
    39.808   -75.425    39.807   -75.423    39.803   -75.415    39.797   -75.405
   8    39.650    39.723   -76.224   -75.788   Maryland-Pennsylvania state line
    39.722   -76.224    39.723   -76.015    39.723   -75.788    39.650   -75.788
  14    39.719    39.722   -77.000   -76.241   Maryland-Pennsylvania state line 
    39.719   -77.000    39.719   -76.997    39.720   -76.840    39.721   -76.558
    39.721   -76.412    39.721   -76.287    39.722   -76.241
 136    39.801    40.122   -76.724   -76.307   Penn county line
    39.801   -76.307    39.807   -76.313    39.813   -76.322    39.816   -76.328
    39.818   -76.331    39.830   -76.343    39.840   -76.351    39.845   -76.352
    39.847   -76.352    39.850   -76.353    39.854   -76.355    39.858   -76.363
    39.863   -76.372    39.870   -76.377    39.877   -76.381    39.879   -76.380
    39.883   -76.379    39.885   -76.379    39.889   -76.380    39.895   -76.383
    39.901   -76.384    39.907   -76.385    39.912   -76.388    39.914   -76.394
    39.915   -76.399    39.917   -76.406    39.921   -76.413    39.926   -76.424
    39.928   -76.430    39.931   -76.438    39.933   -76.446    39.938   -76.458
    39.944   -76.471    39.947   -76.476    39.954   -76.483    39.962   -76.490
    39.974   -76.497    39.979   -76.498    39.989   -76.499    39.998   -76.500
    40.005   -76.503    40.010   -76.506    40.015   -76.512    40.022   -76.520
    40.031   -76.528    40.039   -76.531    40.047   -76.532    40.051   -76.533
    40.054   -76.536    40.055   -76.538    40.054   -76.542    40.052   -76.547
    40.050   -76.553    40.049   -76.557    40.048   -76.567    40.050   -76.577
    40.053   -76.587    40.056   -76.605    40.061   -76.642    40.061   -76.649
    40.067   -76.663    40.073   -76.670    40.082   -76.677    40.085   -76.678
    40.102   -76.693    40.113   -76.708    40.117   -76.715    40.122   -76.724
 240    39.722    40.137   -76.140   -75.876   Penn Lancaster-Chester cty line
    40.137   -75.876    40.126   -75.902    40.121   -75.914    40.114   -75.932
    40.109   -75.942    40.107   -75.942    40.099   -75.941    40.081   -75.937
    40.069   -75.936    40.047   -75.936    40.039   -75.935    40.020   -75.951
    40.012   -75.956    40.002   -75.963    40.001   -75.964    39.985   -75.972
    39.967   -75.987    39.963   -75.987    39.961   -75.989    39.958   -75.990
    39.954   -75.992    39.951   -75.992    39.948   -75.992    39.940   -75.988
    39.936   -75.983    39.933   -75.981    39.932   -75.981    39.931   -75.983
    39.931   -75.984    39.931   -75.986    39.928   -75.990    39.927   -75.992
    39.927   -75.993    39.928   -75.994    39.928   -75.997    39.927   -75.998
    39.926   -75.997    39.924   -75.996    39.903   -75.996    39.901   -75.995
    39.898   -75.991    39.895   -75.989    39.893   -75.988    39.887   -75.990
    39.883   -75.991    39.880   -75.992    39.877   -75.988    39.874   -75.987
    39.873   -75.988    39.872   -75.991    39.870   -75.993    39.870   -75.994
    39.870   -75.996    39.871   -75.998    39.873   -75.999    39.874   -76.002
    39.873   -76.004    39.871   -76.005    39.867   -76.007    39.854   -76.009
    39.853   -76.011    39.853   -76.013    39.854   -76.017    39.854   -76.018
    39.854   -76.021    39.852   -76.022    39.846   -76.023    39.838   -76.021
    39.834   -76.019    39.832   -76.019    39.831   -76.024    39.830   -76.025
    39.826   -76.026    39.825   -76.027    39.821   -76.032    39.817   -76.031
    39.813   -76.031    39.808   -76.036    39.803   -76.038    39.796   -76.045
    39.790   -76.048    39.785   -76.051    39.782   -76.054    39.780   -76.057
    39.779   -76.062    39.775   -76.062    39.773   -76.063    39.771   -76.066
    39.767   -76.066    39.764   -76.066    39.763   -76.068    39.761   -76.081
    39.759   -76.084    39.754   -76.085    39.747   -76.088    39.745   -76.091
    39.745   -76.096    39.745   -76.101    39.742   -76.102    39.740   -76.102
    39.738   -76.099    39.736   -76.096    39.732   -76.097    39.728   -76.100
    39.725   -76.105    39.727   -76.111    39.729   -76.114    39.732   -76.112
    39.735   -76.112    39.737   -76.115    39.736   -76.120    39.733   -76.121
