2002-05-29_00Z, ATC DCP 1,   ,Init 2002052800, (39.482 N, -76.087 W)            
ABBEY PT  ;   1. M;  20.  LBS.                                                  
   394483.00  4358899.00        1.00       20.00    40000.00        5.00      200.00
    5.000000              72
   0.0000000E+00          94
    1.000000       201.7617      0.0000000E+00
    1099.274       129.0261      -5.831268    
    2197.548       122.9096      -5.329453    
    3295.822       120.3147      -4.051804    
    4394.096       119.0368      -2.581741    
    5492.370       118.4223      -1.064705    
    6590.644       118.2173      0.4720459    
    7688.917       118.3238       2.051102    
    8787.191       118.7347       3.737732    
    9885.465       119.5532       5.681480    
    10983.74       121.2136       8.348457    
    11369.58       124.6471       12.11179    
    11395.89       130.5319       18.01869    
    11436.68       130.1107       17.63158    
    11448.66       130.2606       17.79147    
    11475.92       130.2539       17.80750    
    11504.08       130.0874       17.66444    
    11532.69       130.1161       17.71690    
    11561.35       130.0081       17.63264    
    11591.29       129.9925       17.64169    
    11623.25       129.8743       17.54987    
    11656.31       129.9147       17.61732    
    11690.31       129.8245       17.55495    
    11725.20       129.8200       17.57892    
    11761.04       129.8831       17.67125    
    11797.95       129.8752       17.69325    
    11840.48       129.8080       17.66042    
    11884.59       129.8638       17.75179    
    11931.56       129.8988       17.82446    
    11982.16       130.0312       17.99730    
    12082.01       134.6503       22.69567    
    12231.86       126.7549       14.91802    
    13593.21       106.1858      -4.642845    
    14737.79       107.2919      -2.764282    
    15557.69       107.7419      -1.796982    
    16296.80       107.9471      -1.148323    
    16926.76       108.0397     -0.6933212    
    17511.79       108.0644     -0.3440247    
    18051.80       108.0448     -7.3478699E-02
    18550.82       107.9960      0.1382599    
    19031.11       107.9250      0.3115158    
    19504.28       107.8344      0.4555664    
    19957.12       107.7363      0.5767288    
    20432.24       107.6298      0.6950836    
    22992.70       117.9056       12.09892    
    23053.77       123.6413       17.85998    
    23128.35       123.3391       17.58854    
    23164.34       123.1893       17.45365    
    23270.65       122.7904       17.09846    
    23296.41       123.0494       17.36803    
    23354.02       122.7961       17.13839    
    23495.71       122.2730       16.67305    
    23497.81       122.7075       17.10839    
    23573.38       122.6334       17.06502    
    23693.54       122.0922       16.57240    
    23748.99       126.4858       20.98827    
    23794.98       126.3385       20.85945    
    23985.23       126.5425       21.13956    
    24030.80       129.5048       24.11997    
    24127.60       126.0444       20.69800    
    24185.91       126.6461       21.32276    
    24419.28       125.6000       20.36845    
    24694.73       125.5543       20.42992    
    24751.67       125.2964       20.19399    
    25069.12       118.8597       13.87905    
    25219.53       102.8867      -2.036774    
    26213.99       104.1859     -0.3681030    
    26954.83       104.7499      0.4622345    
    26966.80       104.7589      0.4754715    
    29446.67       99.62245      -3.820450    
    30216.12       100.1191      -3.077316    
    31311.01       100.8045      -2.051880    
    32797.80       101.1839      -1.229248    
    33477.41       101.2476     -0.9695129    
    34383.58       101.3307     -0.6312866    
    34772.68       114.1610       12.30658    
    34841.66       114.2562       12.42072    
    34917.89       114.2884       12.47375    
    34971.39       114.4703       12.67029    
    35089.79       114.4258       12.65810    
    35141.80       114.7204       12.96679    
    35215.41       114.8498       13.11626    
    35226.04       114.8685       13.13783    
    35409.43       114.7205       13.03939    
    35444.84       115.1947       13.52322    
    35570.70       115.3878       13.75017    
    36104.95       114.2049       12.70971    
    36167.28       114.7025       13.22379    
    36184.96       115.1855       13.71139    
    36262.82       101.4143     -3.9245605E-02
    36738.71       101.3972      6.8199158E-02
    37315.81       101.3767      0.1966324    
    37517.30       113.0109       11.88226    
    39267.52       101.2407      0.5477295    
    5.000000              81
    1.000000       201.7617      0.0000000E+00
    1101.266       128.9674      -5.872643    
    2201.532       122.8161      -5.405624    
    3301.799       120.1966      -4.152573    
    4402.065       118.9020      -2.699234    
    5502.332       118.2760      -1.193665    
    6602.599       118.0631      0.3350983    
    7702.865       118.1639       1.908516    
    8803.132       118.5708       3.591125    
    9903.398       119.3865       5.532028    
    11003.67       121.0449       8.197075    
    11167.15       124.2271       11.52011    
    11193.99       129.9480       17.26399    
    11218.73       129.4109       16.74796    
    11241.29       129.1366       16.49286    
    11271.37       128.8832       16.26498    
    11302.48       128.6209       16.02906    
    11334.81       128.3334       15.76878    
    11368.02       128.1166       15.57999    
    11411.61       127.6827       15.18265    
    11436.00       127.5918       15.11210    
    11470.66       127.4131       14.96233    
    11506.28       127.3124       14.89132    
    11542.89       127.1355       14.74474    
    11580.34       126.9138       14.55395    
    11635.08       126.5413       14.22655    
    11656.70       126.6677       14.37064    
    11698.95       126.4951       14.23266    
    11742.57       126.4799       14.25298    
    11787.39       126.5654       14.37491    
    11881.76       131.6762       19.56190    
    11893.98       131.6584       19.55389    
    11930.47       127.0275       14.95223    
    11984.20       127.2113       15.17900    
    12103.93       133.0495       21.11222    
    12217.29       124.2079       12.35966    
    12805.43       103.4060      -7.993027    
    14482.67       105.6235      -4.599564    
    15589.53       106.2667      -3.252686    
    16356.34       106.5822      -2.478432    
    17087.55       106.7199      -1.922791    
    17798.00       106.7654      -1.488113    
    18447.07       106.7564      -1.154922    
    19080.98       106.7125     -0.8759766    
    19657.53       106.6486     -0.6554337    
    20226.59       106.5639     -0.4674835    
    22369.02       117.7327       11.66322    
    22423.26       123.3998       17.35346    
    22469.93       122.6923       16.66582    
    22525.12       122.2169       16.21384    
    22587.20       121.8071       15.83041    
    22651.34       121.3837       15.43406    
    22723.73       121.0988       15.17963    
    22791.93       120.5626       14.67213    
    22859.06       119.8825       14.02005    
    22920.21       119.7416       13.90476    
    22979.22       119.2723       13.45997    
    23055.19       119.1460       13.36520    
    23136.38       118.7939       13.04674    
    23263.05       118.2269       12.53191    
    23306.48       118.5551       12.87792    
    23370.10       118.9016       13.25047    
    23463.72       119.1303       13.51733    
    23522.15       119.3314       13.74223    
    23543.29       119.4040       13.82343    
    23724.84       119.1209       13.61366    
    23791.78       119.5504       14.07014    
    23928.09       126.1295       20.70377    
    24014.57       125.8251       20.43386    
    24018.67       120.6508       15.26122    
    24332.32       125.8395       20.57387    
    24494.52       119.6155       14.41333    
    25661.32       102.5684      -2.189125    
    26769.42       103.3548     -0.9988556    
    26817.72       103.2141      -1.122337    
    28880.21       97.43144      -6.197037    
    30113.29       98.43800      -4.791008    
    31253.17       99.33247      -3.541550    
    33053.04       99.80101      -2.538025    
    33408.86       87.58940      -14.64733    
    36704.43       86.08971      -15.24818    
    10.00000              82
    1.000000       201.7617      0.0000000E+00
    1212.588       127.9294      -5.990623    
    2424.176       121.9554      -5.345840    
    3635.765       119.4918      -3.936768    
    4847.354       118.3373      -2.343269    
    6058.942       117.8509     -0.6980896    
    7270.531       117.7974      0.9901276    
    8482.120       118.1121       2.777458    
    9693.709       118.8705       4.811600    
    10905.30       120.4931       7.559448    
    10988.14       124.2253       11.36398    
    11017.28       129.9757       17.13960    
    11040.33       129.7268       16.91074    
    11068.62       129.4621       16.67049    
    11097.71       129.1963       16.42975    
    11118.89       129.3529       16.60454    
    11151.01       129.0029       16.28210    
    11184.58       128.8729       16.18081    
    11219.31       128.5652       15.90272    
    11252.83       128.3778       15.74384    
    11290.13       128.0031       15.40073    
    11328.56       127.8788       15.30898    
    11368.58       127.6808       15.14462    
    11419.00       127.2318       14.73796    
    11448.11       127.2383       14.76872    
    11489.52       127.0459       14.61080    
    11531.81       126.9406       14.54067    
    11575.21       126.8560       14.49197    
    11640.93       126.4871       14.17715    
    11668.55       126.6720       14.38468    
    11713.45       126.6420       14.39133    
    11764.32       126.6647       14.45552    
    11870.62       131.7851       19.66185    
    11871.09       131.7827       19.65981    
    11926.71       127.0987       15.02048    
    11985.94       127.3743       15.34342    
    12116.89       133.0069       21.07977    
    12210.65       124.7974       12.94397    
    13171.38       103.0529      -8.076874    
    14935.43       104.7686      -5.160309    
    16139.23       105.3179      -3.870331    
    17129.59       105.5624      -3.056847    
    17977.92       105.6769      -2.480507    
    18662.65       105.7256      -2.074677    
    19539.57       105.6838      -1.677711    
    20141.60       105.6486      -1.422997    
    21989.83       117.6820       11.44922    
    22045.98       123.2816       17.07319    
    22099.57       122.7467       16.56142    
    22161.02       122.3299       16.17117    
    22219.79       122.2277       16.09428    
    22264.83       122.2954       16.18134    
    22335.45       121.6501       15.56625    
    22394.07       121.6058       15.54705    
    22465.82       121.1080       15.07978    
    22541.11       120.8503       14.85410    
    22631.64       120.2604       14.30246    
    22690.21       120.2581       14.32487    
    22771.99       119.9552       14.05630    
    22850.55       119.7420       13.87604    
    22922.96       119.7039       13.86813    
    23034.53       119.3234       13.53408    
    23098.15       119.3880       13.62504    
    23193.65       119.3072       13.58365    
    23299.20       119.2008       13.52057    
    23362.78       119.4722       13.81808    
